010001.png, 2, 2, 121, 93, 39, 1, 15, 37
010002.png, 125, 2, 123, 93, 38, 1, 14, 37
010003.png, 250, 2, 127, 95, 36, 2, 12, 34
010004.png, 379, 2, 131, 95, 35, 5, 9, 31
010005.png, 2, 99, 137, 99, 30, 5, 8, 27
010006.png, 141, 99, 141, 101, 24, 8, 10, 22
010007.png, 284, 99, 143, 103, 19, 12, 13, 16
010008.png, 2, 204, 157, 107, 14, 19, 4, 5
010009.png, 161, 204, 167, 103, 8, 27, 0, 1
010010.png, 330, 204, 169, 87, 3, 35, 3, 9
010011.png, 2, 313, 169, 87, 3, 31, 3, 13
010012.png, 173, 313, 169, 87, 3, 30, 3, 14
010013.png, 2, 402, 169, 85, 3, 34, 3, 12
010014.png, 173, 402, 169, 87, 3, 34, 3, 10
010015.png, 330, 204, 169, 87, 3, 35, 3, 9
